Departamento,Tipo Víctima,Cantidad
AMAZONAS,Fuerza Pública,2 ,1,1,1,1,1
ANTIOQUIA,Fuerza Pública,211,1,1,1,1,1
ANTIOQUIA,Civiles,197,1,1,1,1,1
ARAUCA,Fuerza Pública,79,1,1,1,1,1
ARAUCA,Civiles,38,1,1,1,1,1
ATLANTICO,Civiles,1,1,1,1,1,1
BOGOTA DC,Civiles,8,1,1,1,1,1
BOGOTA DC,Fuerza Pública,1,1,1,1,1,1
BOLIVAR,Fuerza Pública,60,1,1,1,1,1
BOLIVAR,Civiles,31,1,1,1,1,1
BOYACA,Fuerza Pública,8,1,1,1,1,1
BOYACA,Civiles,7,1,1,1,1,1
CALDAS,Fuerza Pública,23,1,1,1,1,1
CALDAS,Civiles,11,1,1,1,1,1
CAQUETA,Fuerza Pública,82,1,1,1,1,1
CAQUETA,Civiles,29,1,1,1,1,1
CASANARE,Fuerza Pública,18,1,1,1,1,1
CASANARE,Civiles,12,1,1,1,1,1
CAUCA,Fuerza Pública,70,1,1,1,1,1
CAUCA,Civiles,46,1,1,1,1,1
CESAR,Fuerza Pública,39,1,1,1,1,1
CESAR,Civiles,20,1,1,1,1,1
CHOCO,Civiles,21,1,1,1,1,1
CHOCO,Fuerza Pública,15,1,1,1,1,1
CORDOBA,Civiles,16,1,1,1,1,1
CORDOBA,Fuerza Pública,15,1,1,1,1,1
CUNDINAMARCA,Fuerza Pública,24,1,1,1,1,1
CUNDINAMARCA,Civiles,9,1,1,1,1,1
GUAVIARE,Fuerza Pública,25,1,1,1,1,1
GUAVIARE,Civiles,15,1,1,1,1,1
HUILA,Fuerza Pública,19,1,1,1,1,1
HUILA,Civiles,16,1,1,1,1,1
LA GUAJIRA,Fuerza Pública,26,1,1,1,1,1
LA GUAJIRA,Civiles,15,1,1,1,1,1
MAGDALENA,Civiles,11,1,1,1,1,1
MAGDALENA,Fuerza Pública,7,1,1,1,1,1
META,Fuerza Pública,135,1,1,1,1,1
META,Civiles,63,1,1,1,1,1
NARIÑO,Civiles,126,1,1,1,1,1
NARIÑO,Fuerza Pública,91,1,1,1,1,1
NORTE DE SANTANDER,Fuerza Pública,152,1,1,1,1,1
NORTE DE SANTANDER,Civiles,35,1,1,1,1,1
PUTUMAYO,Fuerza Pública,67,1,1,1,1,1
PUTUMAYO,Civiles,43,1,1,1,1,1
QUINDIO,Fuerza Pública,7,1,1,1,1,1
QUINDIO,Civiles,1,1,1,1,1,1
RISARALDA,Civiles,5,1,1,1,1,1
RISARALDA,Fuerza Pública,3,1,1,1,1,1
SANTANDER,Fuerza Pública,32,1,1,1,1,1
SANTANDER,Civiles,22,1,1,1,1,1
SUCRE,Fuerza Pública,23,1,1,1,1,1
SUCRE,Civiles,5,1,1,1,1,1
TOLIMA,Fuerza Pública,143,1,1,1,1,1
TOLIMA,Civiles,15,1,1,1,1,1
VALLE DEL CAUCA,Fuerza Pública,52,1,1,1,1,1
VALLE DEL CAUCA,Civiles,18,1,1,1,1,1
VAUPES,Civiles,9,1,1,1,1,1
VAUPES,Fuerza Pública,3,1,1,1,1,1
VICHADA,Civiles,8,1,1,1,1,1
VICHADA,Fuerza Pública,1,1,1,1,1,1
